uid,lat,lon,address,type,max_height,max_width,max_depth,park_and_ride_type,DHID
unit441,49.52584,8.4823,"Luzenbergstraße, 68305 Mannheim",LOCKERS,1250,800,1970,TRAIN,de:08222:2615:2:RiS
unit442,49.484177,8.538394,"Odenwaldstraße, 68259 Mannheim",LOCKERS,1270,800,1990,TRAIN,de:08222:2315_Parent
unit443,49.460159,8.515625,"Xaver-Fuhr-Straße, 68163 Mannheim",TWO_TIER,1250,800,1970,TRAIN,de:08222:2641:1:1
unit444,49.438087,8.571801,"Gebweilerstraße 13, 68229 Mannheim",LOCKERS,1250,800,1970,TRAIN,de:08222:2334_Parent
unit445,49.451715,8.538077,"Hochstättstraße 1-3, 68239 Mannheim",TWO_TIER,1170,800,1990,TRAIN,de:08222:2586:1:1
unit446,49.462468,8.569226,"Seckenheimer Hauptstraße, 68239 Mannheim",LOCKERS,1250,800,1970,TRAIN,de:08222:2591:1:TrRiO
unit447,49.541679,8.44997,"Spinnereistraße 10, 68307 Mannheim",LOCKERS,1250,800,1970,TRAM,de:08222:2567:1:Tram
unit465,49.317282,8.537981,"Eisenbahnstraße 2-4, 68766 Hockenheim",TWO_TIER,1170,800,1990,TRAIN,de:08226:1620_Parent
unit1665,49.29228,8.529403,"Am Bahnhof 2, 68809 Neulußheim",LOCKERS,1270,800,1990,BUS,de:08226:3101:2:2
unit2122,49.465697,8.983505,"Bahnhofsplatz, 9412 Eberbach",LOCKERS,1270,800,1990,TRAIN,de:08226:534_Parent
unit2620,49.504999,8.595539,"Bahnhofstraße, 68542 Heddesheim",LOCKERS,1270,800,1990,TRAM,de:08226:5563:0:Tram
unit2621,49.509223,8.633236,"Am Bundesbahnhof 12, 68542 Heddesheim",LOCKERS,1270,800,1990,TRAIN,de:08226:1110_Parent
